,surf,class,id,label
0,archives/101006_tracts/T_CC1.vtp,T_CC1,101006,1
1,archives/101006_tracts/T_CC2.vtp,T_CC2,101006,2
2,archives/101006_tracts/T_CC3.vtp,T_CC3,101006,3
3,archives/101006_tracts/T_CC4.vtp,T_CC4,101006,4
4,archives/101006_tracts/T_CC5.vtp,T_CC5,101006,5
5,archives/101006_tracts/T_CC6.vtp,T_CC6,101006,6
6,archives/101006_tracts/T_CC7.vtp,T_CC7,101006,7
7,archives/101006_tracts/T_MCP.vtp,T_MCP,101006,8
8,archives/101006_tracts/T_CPC.vtp,T_CPC,101006,9
9,archives/101006_tracts/T_AF_left.vtp,T_AF_left,101006,10
10,archives/101006_tracts/T_AF_right.vtp,T_AF_right,101006,11
11,archives/101006_tracts/T_CB_left.vtp,T_CB_left,101006,12
12,archives/101006_tracts/T_CB_right.vtp,T_CB_right,101006,13
13,archives/101006_tracts/T_CR-F_left.vtp,T_CR-F_left,101006,14
14,archives/101006_tracts/T_CR-F_right.vtp,T_CR-F_right,101006,15
15,archives/101006_tracts/T_CR-P_left.vtp,T_CR-P_left,101006,16
16,archives/101006_tracts/T_CR-P_right.vtp,T_CR-P_right,101006,17
17,archives/101006_tracts/T_CST_left.vtp,T_CST_left,101006,18
18,archives/101006_tracts/T_CST_right.vtp,T_CST_right,101006,19
19,archives/101006_tracts/T_EC_left.vtp,T_EC_left,101006,20
20,archives/101006_tracts/T_EC_right.vtp,T_EC_right,101006,21
21,archives/101006_tracts/T_EmC_left.vtp,T_EmC_left,101006,22
22,archives/101006_tracts/T_EmC_right.vtp,T_EmC_right,101006,23
23,archives/101006_tracts/T_ICP_left.vtp,T_ICP_left,101006,24
24,archives/101006_tracts/T_ICP_right.vtp,T_ICP_right,101006,25
25,archives/101006_tracts/T_ILF_left.vtp,T_ILF_left,101006,26
26,archives/101006_tracts/T_ILF_right.vtp,T_ILF_right,101006,27
27,archives/101006_tracts/T_Intra-CBLM-I&P_left.vtp,T_Intra-CBLM-I&P_left,101006,28
28,archives/101006_tracts/T_Intra-CBLM-I&P_right.vtp,T_Intra-CBLM-I&P_right,101006,29
29,archives/101006_tracts/T_Intra-CBLM-PaT_left.vtp,T_Intra-CBLM-PaT_left,101006,30
30,archives/101006_tracts/T_Intra-CBLM-PaT_right.vtp,T_Intra-CBLM-PaT_right,101006,31
31,archives/101006_tracts/T_IOFF_left.vtp,T_IOFF_left,101006,32
32,archives/101006_tracts/T_IOFF_right.vtp,T_IOFF_right,101006,33
33,archives/101006_tracts/T_MdLF_left.vtp,T_MdLF_left,101006,34
34,archives/101006_tracts/T_MdLF_right.vtp,T_MdLF_right,101006,35
35,archives/101006_tracts/T_PLIC_left.vtp,T_PLIC_left,101006,36
36,archives/101006_tracts/T_PLIC_right.vtp,T_PLIC_right,101006,37
37,archives/101006_tracts/T_SLF-I_left.vtp,T_SLF-I_left,101006,38
38,archives/101006_tracts/T_SLF-I_right.vtp,T_SLF-I_right,101006,39
39,archives/101006_tracts/T_SLF-II_left.vtp,T_SLF-II_left,101006,40
40,archives/101006_tracts/T_SLF-II_right.vtp,T_SLF-II_right,101006,41
41,archives/101006_tracts/T_SLF-III_left.vtp,T_SLF-III_left,101006,42
42,archives/101006_tracts/T_SLF-III_right.vtp,T_SLF-III_right,101006,43
43,archives/101006_tracts/T_UF_left.vtp,T_UF_left,101006,44
44,archives/101006_tracts/T_UF_right.vtp,T_UF_right,101006,45
45,archives/101006_tracts/T_SF_left.vtp,T_SF_left,101006,46
46,archives/101006_tracts/T_SF_right.vtp,T_SF_right,101006,47
47,archives/101006_tracts/T_SO_left.vtp,T_SO_left,101006,48
48,archives/101006_tracts/T_SO_right.vtp,T_SO_right,101006,49
49,archives/101006_tracts/T_SP_left.vtp,T_SP_left,101006,50
50,archives/101006_tracts/T_SP_right.vtp,T_SP_right,101006,51
51,archives/101006_tracts/T_TF_left.vtp,T_TF_left,101006,52
52,archives/101006_tracts/T_TF_right.vtp,T_TF_right,101006,53
53,archives/101006_tracts/T_TO_left.vtp,T_TO_left,101006,54
54,archives/101006_tracts/T_TO_right.vtp,T_TO_right,101006,55
55,archives/101006_tracts/T_TP_left.vtp,T_TP_left,101006,56
56,archives/101006_tracts/T_TP_right.vtp,T_TP_right,101006,57
57,archives/102008_tracts/T_CC1.vtp,T_CC1,102008,1
58,archives/102008_tracts/T_CC2.vtp,T_CC2,102008,2
59,archives/102008_tracts/T_CC3.vtp,T_CC3,102008,3
60,archives/102008_tracts/T_CC4.vtp,T_CC4,102008,4
61,archives/102008_tracts/T_CC5.vtp,T_CC5,102008,5
62,archives/102008_tracts/T_CC6.vtp,T_CC6,102008,6
63,archives/102008_tracts/T_CC7.vtp,T_CC7,102008,7
64,archives/102008_tracts/T_MCP.vtp,T_MCP,102008,8
65,archives/102008_tracts/T_CPC.vtp,T_CPC,102008,9
66,archives/102008_tracts/T_AF_left.vtp,T_AF_left,102008,10
67,archives/102008_tracts/T_AF_right.vtp,T_AF_right,102008,11
68,archives/102008_tracts/T_CB_left.vtp,T_CB_left,102008,12
69,archives/102008_tracts/T_CB_right.vtp,T_CB_right,102008,13
70,archives/102008_tracts/T_CR-F_left.vtp,T_CR-F_left,102008,14
71,archives/102008_tracts/T_CR-F_right.vtp,T_CR-F_right,102008,15
72,archives/102008_tracts/T_CR-P_left.vtp,T_CR-P_left,102008,16
73,archives/102008_tracts/T_CR-P_right.vtp,T_CR-P_right,102008,17
74,archives/102008_tracts/T_CST_left.vtp,T_CST_left,102008,18
75,archives/102008_tracts/T_CST_right.vtp,T_CST_right,102008,19
76,archives/102008_tracts/T_EC_left.vtp,T_EC_left,102008,20
77,archives/102008_tracts/T_EC_right.vtp,T_EC_right,102008,21
78,archives/102008_tracts/T_EmC_left.vtp,T_EmC_left,102008,22
79,archives/102008_tracts/T_EmC_right.vtp,T_EmC_right,102008,23
80,archives/102008_tracts/T_ICP_left.vtp,T_ICP_left,102008,24
81,archives/102008_tracts/T_ICP_right.vtp,T_ICP_right,102008,25
82,archives/102008_tracts/T_ILF_left.vtp,T_ILF_left,102008,26
83,archives/102008_tracts/T_ILF_right.vtp,T_ILF_right,102008,27
84,archives/102008_tracts/T_Intra-CBLM-I&P_left.vtp,T_Intra-CBLM-I&P_left,102008,28
85,archives/102008_tracts/T_Intra-CBLM-I&P_right.vtp,T_Intra-CBLM-I&P_right,102008,29
86,archives/102008_tracts/T_Intra-CBLM-PaT_left.vtp,T_Intra-CBLM-PaT_left,102008,30
87,archives/102008_tracts/T_Intra-CBLM-PaT_right.vtp,T_Intra-CBLM-PaT_right,102008,31
88,archives/102008_tracts/T_IOFF_left.vtp,T_IOFF_left,102008,32
89,archives/102008_tracts/T_IOFF_right.vtp,T_IOFF_right,102008,33
90,archives/102008_tracts/T_MdLF_left.vtp,T_MdLF_left,102008,34
91,archives/102008_tracts/T_MdLF_right.vtp,T_MdLF_right,102008,35
92,archives/102008_tracts/T_PLIC_left.vtp,T_PLIC_left,102008,36
93,archives/102008_tracts/T_PLIC_right.vtp,T_PLIC_right,102008,37
94,archives/102008_tracts/T_SLF-I_left.vtp,T_SLF-I_left,102008,38
95,archives/102008_tracts/T_SLF-I_right.vtp,T_SLF-I_right,102008,39
96,archives/102008_tracts/T_SLF-II_left.vtp,T_SLF-II_left,102008,40
97,archives/102008_tracts/T_SLF-II_right.vtp,T_SLF-II_right,102008,41
98,archives/102008_tracts/T_SLF-III_left.vtp,T_SLF-III_left,102008,42
99,archives/102008_tracts/T_SLF-III_right.vtp,T_SLF-III_right,102008,43
100,archives/102008_tracts/T_UF_left.vtp,T_UF_left,102008,44
101,archives/102008_tracts/T_UF_right.vtp,T_UF_right,102008,45
102,archives/102008_tracts/T_SF_left.vtp,T_SF_left,102008,46
103,archives/102008_tracts/T_SF_right.vtp,T_SF_right,102008,47
104,archives/102008_tracts/T_SO_left.vtp,T_SO_left,102008,48
105,archives/102008_tracts/T_SO_right.vtp,T_SO_right,102008,49
106,archives/102008_tracts/T_SP_left.vtp,T_SP_left,102008,50
107,archives/102008_tracts/T_SP_right.vtp,T_SP_right,102008,51
108,archives/102008_tracts/T_TF_left.vtp,T_TF_left,102008,52
109,archives/102008_tracts/T_TF_right.vtp,T_TF_right,102008,53
110,archives/102008_tracts/T_TO_left.vtp,T_TO_left,102008,54
111,archives/102008_tracts/T_TO_right.vtp,T_TO_right,102008,55
112,archives/102008_tracts/T_TP_left.vtp,T_TP_left,102008,56
113,archives/102008_tracts/T_TP_right.vtp,T_TP_right,102008,57
114,archives/102311_tracts/T_CC1.vtp,T_CC1,102311,1
115,archives/102311_tracts/T_CC2.vtp,T_CC2,102311,2
116,archives/102311_tracts/T_CC3.vtp,T_CC3,102311,3
117,archives/102311_tracts/T_CC4.vtp,T_CC4,102311,4
118,archives/102311_tracts/T_CC5.vtp,T_CC5,102311,5
119,archives/102311_tracts/T_CC6.vtp,T_CC6,102311,6
120,archives/102311_tracts/T_CC7.vtp,T_CC7,102311,7
121,archives/102311_tracts/T_MCP.vtp,T_MCP,102311,8
122,archives/102311_tracts/T_CPC.vtp,T_CPC,102311,9
123,archives/102311_tracts/T_AF_left.vtp,T_AF_left,102311,10
124,archives/102311_tracts/T_AF_right.vtp,T_AF_right,102311,11
125,archives/102311_tracts/T_CB_left.vtp,T_CB_left,102311,12
126,archives/102311_tracts/T_CB_right.vtp,T_CB_right,102311,13
127,archives/102311_tracts/T_CR-F_left.vtp,T_CR-F_left,102311,14
128,archives/102311_tracts/T_CR-F_right.vtp,T_CR-F_right,102311,15
129,archives/102311_tracts/T_CR-P_left.vtp,T_CR-P_left,102311,16
130,archives/102311_tracts/T_CR-P_right.vtp,T_CR-P_right,102311,17
131,archives/102311_tracts/T_CST_left.vtp,T_CST_left,102311,18
132,archives/102311_tracts/T_CST_right.vtp,T_CST_right,102311,19
133,archives/102311_tracts/T_EC_left.vtp,T_EC_left,102311,20
134,archives/102311_tracts/T_EC_right.vtp,T_EC_right,102311,21
135,archives/102311_tracts/T_EmC_left.vtp,T_EmC_left,102311,22
136,archives/102311_tracts/T_EmC_right.vtp,T_EmC_right,102311,23
137,archives/102311_tracts/T_ICP_left.vtp,T_ICP_left,102311,24
138,archives/102311_tracts/T_ICP_right.vtp,T_ICP_right,102311,25
139,archives/102311_tracts/T_ILF_left.vtp,T_ILF_left,102311,26
140,archives/102311_tracts/T_ILF_right.vtp,T_ILF_right,102311,27
141,archives/102311_tracts/T_Intra-CBLM-I&P_left.vtp,T_Intra-CBLM-I&P_left,102311,28
142,archives/102311_tracts/T_Intra-CBLM-I&P_right.vtp,T_Intra-CBLM-I&P_right,102311,29
143,archives/102311_tracts/T_Intra-CBLM-PaT_left.vtp,T_Intra-CBLM-PaT_left,102311,30
144,archives/102311_tracts/T_Intra-CBLM-PaT_right.vtp,T_Intra-CBLM-PaT_right,102311,31
145,archives/102311_tracts/T_IOFF_left.vtp,T_IOFF_left,102311,32
146,archives/102311_tracts/T_IOFF_right.vtp,T_IOFF_right,102311,33
147,archives/102311_tracts/T_MdLF_left.vtp,T_MdLF_left,102311,34
148,archives/102311_tracts/T_MdLF_right.vtp,T_MdLF_right,102311,35
149,archives/102311_tracts/T_PLIC_left.vtp,T_PLIC_left,102311,36
150,archives/102311_tracts/T_PLIC_right.vtp,T_PLIC_right,102311,37
151,archives/102311_tracts/T_SLF-I_left.vtp,T_SLF-I_left,102311,38
152,archives/102311_tracts/T_SLF-I_right.vtp,T_SLF-I_right,102311,39
153,archives/102311_tracts/T_SLF-II_left.vtp,T_SLF-II_left,102311,40
154,archives/102311_tracts/T_SLF-II_right.vtp,T_SLF-II_right,102311,41
155,archives/102311_tracts/T_SLF-III_left.vtp,T_SLF-III_left,102311,42
156,archives/102311_tracts/T_SLF-III_right.vtp,T_SLF-III_right,102311,43
157,archives/102311_tracts/T_UF_left.vtp,T_UF_left,102311,44
158,archives/102311_tracts/T_UF_right.vtp,T_UF_right,102311,45
159,archives/102311_tracts/T_SF_left.vtp,T_SF_left,102311,46
160,archives/102311_tracts/T_SF_right.vtp,T_SF_right,102311,47
161,archives/102311_tracts/T_SO_left.vtp,T_SO_left,102311,48
162,archives/102311_tracts/T_SO_right.vtp,T_SO_right,102311,49
163,archives/102311_tracts/T_SP_left.vtp,T_SP_left,102311,50
164,archives/102311_tracts/T_SP_right.vtp,T_SP_right,102311,51
165,archives/102311_tracts/T_TF_left.vtp,T_TF_left,102311,52
166,archives/102311_tracts/T_TF_right.vtp,T_TF_right,102311,53
167,archives/102311_tracts/T_TO_left.vtp,T_TO_left,102311,54
168,archives/102311_tracts/T_TO_right.vtp,T_TO_right,102311,55
169,archives/102311_tracts/T_TP_left.vtp,T_TP_left,102311,56
170,archives/102311_tracts/T_TP_right.vtp,T_TP_right,102311,57
171,archives/102816_tracts/T_CC1.vtp,T_CC1,102816,1
172,archives/102816_tracts/T_CC2.vtp,T_CC2,102816,2
173,archives/102816_tracts/T_CC3.vtp,T_CC3,102816,3
174,archives/102816_tracts/T_CC4.vtp,T_CC4,102816,4
175,archives/102816_tracts/T_CC5.vtp,T_CC5,102816,5
176,archives/102816_tracts/T_CC6.vtp,T_CC6,102816,6
177,archives/102816_tracts/T_CC7.vtp,T_CC7,102816,7
178,archives/102816_tracts/T_MCP.vtp,T_MCP,102816,8
179,archives/102816_tracts/T_CPC.vtp,T_CPC,102816,9
180,archives/102816_tracts/T_AF_left.vtp,T_AF_left,102816,10
181,archives/102816_tracts/T_AF_right.vtp,T_AF_right,102816,11
182,archives/102816_tracts/T_CB_left.vtp,T_CB_left,102816,12
183,archives/102816_tracts/T_CB_right.vtp,T_CB_right,102816,13
184,archives/102816_tracts/T_CR-F_left.vtp,T_CR-F_left,102816,14
185,archives/102816_tracts/T_CR-F_right.vtp,T_CR-F_right,102816,15
186,archives/102816_tracts/T_CR-P_left.vtp,T_CR-P_left,102816,16
187,archives/102816_tracts/T_CR-P_right.vtp,T_CR-P_right,102816,17
188,archives/102816_tracts/T_CST_left.vtp,T_CST_left,102816,18
189,archives/102816_tracts/T_CST_right.vtp,T_CST_right,102816,19
190,archives/102816_tracts/T_EC_left.vtp,T_EC_left,102816,20
191,archives/102816_tracts/T_EC_right.vtp,T_EC_right,102816,21
192,archives/102816_tracts/T_EmC_left.vtp,T_EmC_left,102816,22
193,archives/102816_tracts/T_EmC_right.vtp,T_EmC_right,102816,23
194,archives/102816_tracts/T_ICP_left.vtp,T_ICP_left,102816,24
195,archives/102816_tracts/T_ICP_right.vtp,T_ICP_right,102816,25
196,archives/102816_tracts/T_ILF_left.vtp,T_ILF_left,102816,26
197,archives/102816_tracts/T_ILF_right.vtp,T_ILF_right,102816,27
198,archives/102816_tracts/T_Intra-CBLM-I&P_left.vtp,T_Intra-CBLM-I&P_left,102816,28
199,archives/102816_tracts/T_Intra-CBLM-I&P_right.vtp,T_Intra-CBLM-I&P_right,102816,29
200,archives/102816_tracts/T_Intra-CBLM-PaT_left.vtp,T_Intra-CBLM-PaT_left,102816,30
201,archives/102816_tracts/T_Intra-CBLM-PaT_right.vtp,T_Intra-CBLM-PaT_right,102816,31
202,archives/102816_tracts/T_IOFF_left.vtp,T_IOFF_left,102816,32
203,archives/102816_tracts/T_IOFF_right.vtp,T_IOFF_right,102816,33
204,archives/102816_tracts/T_MdLF_left.vtp,T_MdLF_left,102816,34
205,archives/102816_tracts/T_MdLF_right.vtp,T_MdLF_right,102816,35
206,archives/102816_tracts/T_PLIC_left.vtp,T_PLIC_left,102816,36
207,archives/102816_tracts/T_PLIC_right.vtp,T_PLIC_right,102816,37
208,archives/102816_tracts/T_SLF-I_left.vtp,T_SLF-I_left,102816,38
209,archives/102816_tracts/T_SLF-I_right.vtp,T_SLF-I_right,102816,39
210,archives/102816_tracts/T_SLF-II_left.vtp,T_SLF-II_left,102816,40
211,archives/102816_tracts/T_SLF-II_right.vtp,T_SLF-II_right,102816,41
212,archives/102816_tracts/T_SLF-III_left.vtp,T_SLF-III_left,102816,42
213,archives/102816_tracts/T_SLF-III_right.vtp,T_SLF-III_right,102816,43
214,archives/102816_tracts/T_UF_left.vtp,T_UF_left,102816,44
215,archives/102816_tracts/T_UF_right.vtp,T_UF_right,102816,45
216,archives/102816_tracts/T_SF_left.vtp,T_SF_left,102816,46
217,archives/102816_tracts/T_SF_right.vtp,T_SF_right,102816,47
218,archives/102816_tracts/T_SO_left.vtp,T_SO_left,102816,48
219,archives/102816_tracts/T_SO_right.vtp,T_SO_right,102816,49
220,archives/102816_tracts/T_SP_left.vtp,T_SP_left,102816,50
221,archives/102816_tracts/T_SP_right.vtp,T_SP_right,102816,51
222,archives/102816_tracts/T_TF_left.vtp,T_TF_left,102816,52
223,archives/102816_tracts/T_TF_right.vtp,T_TF_right,102816,53
224,archives/102816_tracts/T_TO_left.vtp,T_TO_left,102816,54
